Entity Category,Falcon3-7B-Instruct (F1),Mistral-7B-Instruct-v0.3 (F1),Llama-3.1-8B-Instruct (F1),Total Count (Support)
ACTION,0.0000,0.0000,0.0000,0
AGE,0.4800,0.3810,0.3830,24
ANNUAL_INCOME,0.0000,0.0000,0.0000,0
BANK,0.0000,0.0000,0.0000,0
BEHAVIOR,0.0000,0.0000,0.0000,0
CALL_SOURCE,0.0000,0.0000,0.0000,0
CONCERN,0.0000,0.0000,0.0000,0
CONVERSATION,0.0000,0.0000,0.0000,0
CONVERSATION_TOPIC,0.0000,0.0000,0.0000,0
COUNTRY,0.0000,0.0000,0.0000,0
CURRENCY,0.0000,0.0000,0.0000,0
DATE_TIME,0.0000,0.0000,0.0000,48
FEEL,0.0000,0.0000,0.0000,0
FINANCES,0.0000,0.0000,0.0000,0
FRIEND,0.0000,0.0000,0.0000,0
FUTURE_AGE,0.0000,0.0000,0.0000,0
GROUP,0.0000,0.0000,0.0000,5
GROUP_NAME,0.0000,0.0000,0.0000,0
HEIGHT,0.0000,0.0000,0.0000,1
ID,0.0000,0.0000,0.0000,1
INCOME,0.0000,0.0000,0.0000,0
LOCATION,0.4667,0.2941,0.4561,21
MISC,0.0000,0.0000,0.0000,17
MONEY,0.0000,0.1176,0.0000,16
NRP,0.0000,0.0000,0.0000,1
NUMBER,0.0000,0.2667,0.0000,13
ORGANIZATION,0.0625,0.0000,0.1714,31
PERSON,0.3000,0.1111,0.0952,5
PRODUCT,0.1622,0.1000,0.2857,9
PROFESSIONAL,0.0000,0.0000,0.0000,0
RELATIONSHIP,0.0000,0.0000,0.0000,0
RELATIONSHIP_DURATION,0.0000,0.0000,0.0000,0
TIME,0.0000,0.0000,0.0000,3
TITLE,0.0000,0.0000,0.0000,3
URL,0.2162,0.0000,0.6000,7
WEIGHT,1.0000,0.0000,1.0000,2
WORK_OF_ART,0.0000,0.0000,0.0000,2
YEAR,0.0000,0.0000,0.0000,0
